,Time,Incidence
0,0.0,0
1,0.336,0
2,0.682,0
3,1.028,0
4,1.3630000000000002,0
5,1.6980000000000002,0
6,2.032999755859375,0
7,2.3680000000000003,0
8,2.7030000000000003,0
9,3.0380000000000003,0
10,3.373000244140625,0
11,3.709000244140625,0
12,4.044,0
13,4.378,0
14,4.7139999999999995,0
15,5.048999755859375,0
16,5.272999755859375,0
17,5.608,0
18,5.943,0
19,6.278,0
20,6.613000244140625,0
21,6.9479999999999995,0
22,7.284,0
23,7.619,0
24,7.954,0
25,8.288999755859376,0
26,8.624,0
27,8.959,0
28,9.294,0
29,9.629000244140622,0
30,9.964,0
31,10.302,0
32,10.645999999999999,0
33,10.981000244140628,0
34,11.315999999999999,0
35,11.65,0
36,11.985999999999999,0
37,12.32,0
38,12.655,0
39,12.99,0
40,13.325000244140625,0
41,13.661000244140626,0
42,13.995999999999999,0
43,14.331,0
44,14.665999999999999,0
45,15.002,0
46,15.336999755859376,0
47,15.672,0
48,16.007,0
49,16.342,0
50,16.678,0
51,17.013000244140624,0
52,17.348,0
53,17.683,0
54,18.018,0
55,18.352999755859376,0
56,18.688,0
57,19.023,0
58,19.358,0
59,19.694000000000003,0
60,20.029000244140626,0
61,20.364,0
62,20.698,0
63,21.034000000000002,0
64,21.36899975585937,0
65,21.704,1
66,22.039,3
67,22.373000244140623,1
68,22.709000244140626,0
69,23.044,0
70,23.379,0
71,23.71299975585937,0
72,24.048000000000002,0
73,24.27299975585937,0
74,24.607,0
75,24.943,0
76,25.278000000000002,0
77,25.613000244140625,0
78,25.948,0
79,26.281999999999996,0
80,26.619,0
81,26.954,0
82,27.288999755859376,0
83,27.624000000000002,0
84,27.959,0
85,28.295,0
86,28.629000244140624,0
87,28.975,0
88,29.31,0
89,29.646,0
90,29.981000244140624,0
91,30.316,0
92,30.651,0
93,30.987,0
94,31.322,0
95,31.65699975585937,0
96,31.991,0
97,32.326,0
98,32.662,0
99,32.99700024414062,0
100,33.332,0
101,33.667,0
102,34.001999999999995,0
103,34.338,0
104,34.67299975585937,0
105,35.008,0
106,35.343,0
107,35.678000000000004,0
108,36.014,0
109,36.348,0
110,36.694,3
111,37.02900024414063,3
112,37.364000000000004,3
113,37.699,3
114,38.034,0
115,38.368999755859384,0
116,38.704,0
117,39.04,0
118,39.375,0
119,39.71,0
120,40.045000244140624,0
121,40.379,0
122,40.715,0
123,41.05,0
124,41.272999755859374,0
125,41.608000000000004,0
126,41.943999999999996,0
127,42.278,0
128,42.614,0
129,42.949000244140635,0
130,43.284,0
131,43.619,0
132,43.95399999999999,0
133,44.288999755859365,0
134,44.623999999999995,0
135,44.958,0
136,45.294,0
137,45.628,0
138,45.96500024414063,0
139,46.299,0
140,46.635,0
141,46.97,0
142,47.304999755859384,0
143,47.64099975585938,0
144,47.975,0
145,48.31,0
146,48.64500024414063,0
147,48.98100024414062,0
148,49.317000244140615,0
149,49.651,0
150,49.986000000000004,0
151,50.32099975585938,0
152,50.656000000000006,0
153,50.99100000000001,0
154,51.326,0
155,51.66100024414062,0
156,51.997000244140615,0
157,52.331,0
158,52.666000000000004,0
159,53.00099975585938,0
160,53.336000000000006,0
161,53.67100000000001,0
162,54.006,0
163,54.342,0
164,54.677000244140615,0
165,55.013000244140635,0
166,55.348,0
167,55.683,0
168,56.018,0
169,56.352999755859365,0
170,56.688,0
171,57.023,0
172,57.358000000000004,0
173,57.693000244140634,0
174,58.028,0
175,58.364,0
176,58.699,0
177,59.032999755859365,0
178,59.368,0
179,59.70399999999999,0
180,60.038999999999994,0
181,60.27299975585939,0
182,60.608000000000004,0
183,60.942,0
184,61.278,0
185,61.613000244140615,0
186,61.949000244140635,0
187,62.284,0
188,62.618,0
189,62.95399999999999,0
190,63.288999755859365,0
191,63.624999755859385,0
192,63.96,0
193,64.294,0
194,64.63,0
195,64.96500024414064,0
196,65.3,0
197,65.635,0
198,65.97,0
199,66.316,0
200,66.652,0
201,66.987,0
202,67.322,0
203,67.65699975585936,0
204,67.991,0
205,68.327,0
206,68.66199999999999,0
207,68.99700024414062,0
208,69.332,0
209,69.678,0
210,70.014,0
211,70.34900024414064,0
212,70.683,0
213,71.018,0
214,71.354,0
215,71.68899975585937,3
216,72.024,0
217,72.359,0
218,72.694,0
219,73.02900024414062,0
220,73.36500024414063,0
221,73.699,0
222,74.03399999999999,0
223,74.36899975585938,0
224,74.70499975585938,1
225,75.04099975585937,2
226,75.375,0
227,75.71,0
228,75.942,0
229,76.279,0
230,76.615,0
231,76.95,0
232,77.28500024414062,0
233,77.62,0
234,77.955,0
235,78.29,0
236,78.62499975585938,0
237,78.96,0
238,79.295,0
239,79.631,0
240,79.96600000000001,0
241,80.30100024414062,0
242,80.63600000000001,0
243,80.971,0
244,81.307,0
245,81.642,0
246,81.97699975585938,0
247,82.31200000000001,0
248,82.647,0
249,82.98200000000001,0
250,83.31700024414063,0
251,83.652,0
252,83.98700000000001,0
253,84.323,0
254,84.65799999999999,0
255,84.99299975585937,0
256,85.32700000000001,0
257,85.662,0
258,85.99700024414062,0
259,86.33200000000001,0
260,86.667,0
261,87.00200000000001,0
262,87.338,0
263,87.67299975585938,0
264,88.008,0
265,88.34299999999999,0
266,88.678,0
267,89.01300024414063,0
268,89.348,0
269,89.68299999999999,0
270,90.01799999999999,0
271,90.35299975585936,0
272,90.68899975585936,0
273,91.024,0
274,91.359,0
275,91.694,0
276,92.02900024414062,0
277,92.36399999999999,0
278,92.699,0
279,93.03399999999999,0
280,93.36899975585938,0
281,93.70499975585938,3
282,94.04,3
