,S3,S1,S1_q1,S2,S2_q1,S3_q1,S4,S4_q1,S5,S5_q1,S6,S6_q1
PLCC,0.16545376051656036,0.041941917420080854,-0.15353850589983106,0.07593897284024416,0.0015218611504509132,0.09242028835281513,-0.01605782393287545,-0.13131153502493317,-0.028282902856600713,-0.07298661774561242,-0.08631989404082335,0.06201472108539471
PLCC p-value,0.0025696358417065523,0.44763968893838546,0.16580156205086896,0.16874319197874965,0.9891055834399413,0.4059735341857048,0.830585105962047,0.38989458214091366,0.7062577216005748,0.6337411646994067,0.2492443828242616,0.6857048079610528
SROCC,0.14791428510174373,-0.008940944914894425,-0.17052571931805371,0.013735509440623484,0.000650455857689879,0.10566058874582188,0.13737722133650843,-0.03811258545363295,-0.0023825090670384777,0.01160804360125566,-0.0961187902043855,0.10447239241130096
SROCC p-value,0.00711055495910478,0.8714576349592926,0.12324007131156427,0.8036834737190538,0.9953435215257482,0.34176698978035147,0.06591558251480137,0.8036990392301517,0.9746777462929099,0.9396734032625549,0.19929635671229817,0.4946236281460209
KENDALL,0.12119636556326545,-0.007311303572704477,-0.14006991254114706,0.01114147527683813,0.0019165671142382075,0.08678966131243582,0.1115006741180613,-0.031462660248284625,-0.001950706663283487,0.009582659576267815,-0.07908574400769625,0.08624393618641035
KENDAL p-value,0.007097896626773869,0.87116879271336,0.12254568572638525,0.8038161303829388,0.9830429128683085,0.3386695626876166,0.0671239028273473,0.800414814536896,0.9745710985495167,0.9386243004365762,0.19511280105339524,0.4883149151786641
