Time,Incidence
0.000000,0
0.333333,0
0.666667,0
1.000000,0
1.333333,0
1.666667,0
2.000000,0
2.333333,0
2.666667,0
3.000000,1
3.333333,0
3.666667,0
4.000000,1
4.333333,0
4.666667,0
5.000000,1
5.333333,0
5.666667,0
6.000000,2
6.333333,0
6.666667,0
7.000000,1
7.333333,0
7.666667,0
8.000000,1
8.333333,0
8.666667,0
9.000000,0
9.333333,0
9.666667,0
10.000000,0
10.333333,0
10.666667,0
11.000000,0
11.333333,0
11.666667,0
12.000000,0
12.333333,0
12.666667,0
13.000000,1
13.333333,0
13.666667,0
14.000000,0
14.333333,0
14.666667,0
15.000000,1
15.333333,0
15.666667,0
16.000000,1
16.333333,0
16.666667,0
17.000000,0
17.333333,0
17.666667,0
18.000000,0
18.333333,0
18.666667,0
19.000000,0
19.333333,0
19.666667,0
20.000000,0
20.333333,0
20.666667,0
21.000000,0
21.333333,0
21.666667,0
22.000000,0
22.333333,0
22.666667,0
23.000000,2
23.333333,0
23.666667,0
24.000000,1
24.333333,0
24.666667,0
25.000000,1
25.333333,0
25.666667,0
26.000000,1
26.333333,0
26.666667,0
27.000000,1
27.333333,0
27.666667,0
28.000000,0
28.333333,0
28.666667,0
29.000000,0
29.333333,0
29.666667,0
30.000000,0
30.333333,0
30.666667,0
31.000000,0
31.333333,0
31.666667,0
32.000000,0
32.333333,0
32.666667,0
33.000000,1
33.333333,0
33.666667,0
34.000000,0
34.333333,0
34.666667,0
35.000000,0
35.333333,0
35.666667,0
36.000000,0
36.333333,0
36.666667,0
37.000000,0
37.333333,0
37.666667,0
38.000000,0
38.333333,0
38.666667,0
39.000000,0
39.333333,0
39.666667,0
40.000000,0
40.333333,0
40.666667,0
41.000000,0
41.333333,0
41.666667,0
42.000000,0
42.333333,0
42.666667,0
43.000000,1
43.333333,0
43.666667,0
44.000000,0
44.333333,0
44.666667,0
45.000000,0
45.333333,0
45.666667,0
46.000000,0
46.333333,0
46.666667,0
47.000000,0
47.333333,0
47.666667,0
48.000000,0
48.333333,0
48.666667,0
49.000000,0
49.333333,0
49.666667,0
50.000000,0
50.333333,0
50.666667,0
51.000000,0
51.333333,0
51.666667,0
52.000000,0
52.333333,0
52.666667,0
53.000000,0
53.333333,0
53.666667,0
54.000000,1
54.333333,0
54.666667,0
55.000000,0
55.333333,0
55.666667,0
56.000000,0
56.333333,0
56.666667,0
57.000000,0
57.333333,0
57.666667,0
58.000000,0
58.333333,0
58.666667,0
59.000000,0
59.333333,0
59.666667,0
60.000000,0
