time,MPentropy/
0.3333333333333333,-30733.40344997948
0.6666666666666666,-29985.9917768777
1.0,-33369.3095946992
1.3333333333333333,-31570.953805285142
1.6666666666666667,-30480.935764081143
2.0,-34027.80804962159
2.3333333333333335,-31218.703913225312
2.6666666666666665,-29779.199509877028
3.0,-34267.44195285381
3.3333333333333335,-32259.38114667366
3.6666666666666665,-31234.069657924727
4.0,-34056.620017906964
4.333333333333333,-33005.50559690796
4.666666666666667,-33678.49968621453
5.0,-34825.61505835599
5.333333333333333,-33816.36134820152
5.666666666666667,-31679.197936987734
6.0,-34591.90653329388
6.333333333333333,-32447.719620028976
6.666666666666667,-31582.479703061937
7.0,-32483.417769112126
7.333333333333333,-33889.246588829636
7.666666666666667,-33217.87923731152
8.0,-35006.639685732545
8.333333333333334,-31606.10173206932
8.666666666666666,-32256.75797112945
9.0,-32956.828823044605
9.333333333333334,-32503.97239430444
9.666666666666666,-31361.16141467489
10.0,-33794.77912154319
10.333333333333334,-32820.794590531936
10.666666666666666,-33726.3181264968
11.0,-34765.82048696088
11.333333333333334,-34148.53227437781
11.666666666666666,-33984.11391072703
12.0,-34011.11611956221
12.333333333333334,-33399.8961210674
12.666666666666666,-32954.67600847919
13.0,-33271.18707378233
13.333333333333334,-32712.813127984315
13.666666666666666,-33601.91495265375
14.0,-34658.28079498411
14.333333333333334,-34147.484772132506
14.666666666666666,-33679.181988416785
15.0,-34397.32837793287
15.333333333333334,-33785.54757824796
15.666666666666666,-33118.39455028379
16.0,-34603.91265241796
16.333333333333332,-32457.703977733167
16.666666666666668,-31607.775998897574
17.0,-33581.76122319806
17.333333333333332,-31767.84165304503
17.666666666666668,-32075.881726757078
18.0,-33353.0442416246
18.333333333333332,-33783.440070056524
18.666666666666668,-33321.474690646006
19.0,-35151.56841533327
19.333333333333332,-32068.72506239644
19.666666666666668,-31692.91906557606
20.0,-34049.626508135196
