time,MPentropy/
0.3333333333333333,-133480.12008988633
0.6666666666666666,-132299.52133688022
1.0,-131419.77080756877
1.3333333333333333,-130237.07352273715
1.6666666666666667,-128564.034359264
2.0,-127427.43540092479
2.3333333333333335,-127355.20641641825
2.6666666666666665,-16927.702315848328
3.0,-125731.42594450334
3.3333333333333335,-126740.25526621118
3.6666666666666665,-126622.62769114936
4.0,-129889.5192386465
4.333333333333333,-130528.29900060174
4.666666666666667,-130977.3731235532
5.0,-133171.60342123304
5.333333333333333,-133541.46719590292
5.666666666666667,-134582.11565183863
6.0,-133441.409444328
6.333333333333333,-136944.70763716864
6.666666666666667,-136448.26604577224
7.0,-135026.88326828
7.333333333333333,-135194.64035503846
7.666666666666667,-18107.225340749206
8.0,-132415.95770279356
8.333333333333334,-134524.63734351122
8.666666666666666,-136587.00623729185
9.0,-135797.10913562117
9.333333333333334,-132515.7181826425
9.666666666666666,-134164.62942514755
10.0,-133008.4096926662
10.333333333333334,-129837.13043389848
10.666666666666666,-128769.44891558084
11.0,-129616.27910849109
11.333333333333334,-130504.57990549973
11.666666666666666,-128774.15049639613
12.0,-127863.20813647435
12.333333333333334,-126729.75080876847
12.666666666666666,-21232.71964570074
13.0,-125317.4795687279
13.333333333333334,-126043.26112214365
13.666666666666666,-126408.64128403904
14.0,-129079.56147582484
14.333333333333334,-127001.12003872395
14.666666666666666,-129700.53288216956
15.0,-131299.51391317588
15.333333333333334,-133933.3139658529
15.666666666666666,-134031.43073173804
16.0,-132573.13496153886
16.333333333333332,-137026.46535108396
16.666666666666668,-135269.60472337698
17.0,-135495.52913510217
17.333333333333332,-133988.05001935913
17.666666666666668,-21960.35551902857
18.0,-132865.5013790737
18.333333333333332,-135277.9669468618
18.666666666666668,-137260.88756360623
19.0,-135977.69583362562
19.333333333333332,-133941.18863322333
19.666666666666668,-134238.69640496228
20.0,-132878.90227061286
