time,MPentropy/
0.3333333333333333,-144023.14405437684
0.6666666666666666,-155216.59786405377
1.0,-156348.33170213117
1.3333333333333333,-151753.24614831744
1.6666666666666667,-173790.06889888682
2.0,-146329.8892619035
2.3333333333333335,-170637.19887887783
2.6666666666666665,-165831.92329641557
3.0,-171737.5430243972
3.3333333333333335,-168457.65728235312
3.6666666666666665,-173746.43586350753
4.0,-181143.66345417016
4.333333333333333,-172352.05771377456
4.666666666666667,-179386.8954988399
5.0,-156947.515583646
5.333333333333333,-56691.11552457572
5.666666666666667,-54757.714975501134
6.0,-45462.29728084421
6.333333333333333,-48861.4569305425
6.666666666666667,-41846.83521949634
7.0,-45740.539956728426
7.333333333333333,-49610.73330866837
7.666666666666667,-48028.19095203146
8.0,-49148.61823003766
8.333333333333334,-50414.99529317926
8.666666666666666,-52714.02671018627
9.0,-50544.727299331615
9.333333333333334,-51693.94888021516
9.666666666666666,-52543.846559549886
10.0,-54392.73457796909
10.333333333333334,-56302.44610634916
10.666666666666666,-53950.09358331426
11.0,-50928.296683918124
11.333333333333334,-49071.13835536203
11.666666666666666,-51205.68593603148
12.0,-123917.48078893534
12.333333333333334,-128260.23469066687
12.666666666666666,-131411.284610372
13.0,-152994.8467699538
13.333333333333334,-162145.76752788055
13.666666666666666,-169468.20769091125
14.0,-161160.35158977984
14.333333333333334,-164276.44192270734
14.666666666666666,-156588.096509718
15.0,-160056.77349972882
15.333333333333334,-152482.4870809632
15.666666666666666,-145584.56877582677
16.0,-167800.6864478106
16.333333333333332,-155901.98944727407
16.666666666666668,-143173.00047783897
17.0,-151297.9130936341
17.333333333333332,-157689.90317149542
17.666666666666668,-154010.32510011178
18.0,-169846.18756727825
18.333333333333332,-147227.8257815211
18.666666666666668,-171235.26648366573
19.0,-162380.58441882365
19.333333333333332,-168835.07407119847
19.666666666666668,-168484.23780284036
20.0,-173398.03550235997
