time,MPentropy/
0.3333333333333333,-89600.9274301775
0.6666666666666666,-89736.97115995447
1.0,-85165.73409035317
1.3333333333333333,-104388.017952791
1.6666666666666667,-101122.46840130317
2.0,-98897.22521538431
2.3333333333333335,-97034.51719501641
2.6666666666666665,-94737.15069911606
3.0,-89024.90088349803
3.3333333333333335,-75001.76673915048
3.6666666666666665,-74711.28736113376
4.0,-73965.58151412578
4.333333333333333,-33437.33255451298
4.666666666666667,-33270.09543291531
5.0,-81585.17687399167
5.333333333333333,-16263.423023734593
5.666666666666667,-16422.582467845165
6.0,-15860.532668824238
6.333333333333333,-89164.52243895868
6.666666666666667,-88585.246223777
7.0,-84044.12035769883
7.333333333333333,-76337.58744611338
7.666666666666667,-78105.8550959862
8.0,-79308.04883001835
8.333333333333334,-81608.23160634175
8.666666666666666,-83601.0817425173
9.0,-84655.30635473212
9.333333333333334,-84639.67669520472
9.666666666666666,-88955.00594213042
10.0,-88840.58963418905
10.333333333333334,-89271.07756794113
10.666666666666666,-85588.01961798243
11.0,-85325.37961969261
11.333333333333334,-83611.64413281898
11.666666666666666,-81506.70468651147
12.0,-83713.0352684353
12.333333333333334,-93016.3298421545
12.666666666666666,-91061.82469644086
13.0,-89433.78443191822
13.333333333333334,-91058.18098469071
13.666666666666666,-88845.14036773586
14.0,-16599.022121872316
14.333333333333334,-95660.90510243771
14.666666666666666,-33062.36064782468
15.0,-33275.95098549224
15.333333333333334,-33456.802430418255
15.666666666666666,-33293.01022058703
16.0,-72114.14855701714
16.333333333333332,-89416.02106548694
16.666666666666668,-88951.73035885573
17.0,-91145.25309890058
17.333333333333332,-95476.86074084305
17.666666666666668,-96920.04756449725
18.0,-98495.52226605311
18.333333333333332,-101019.6694563261
18.666666666666668,-103077.42879465659
19.0,-83668.90486675175
19.333333333333332,-88892.61209249785
19.666666666666668,-89690.40911054688
20.0,-89383.36512638595
