time,MPentropy/
0.3333333333333333,-16948.279965830436
0.6666666666666666,-13949.818894173603
1.0,-22951.896489390176
1.3333333333333333,-16195.204450556588
1.6666666666666667,-13413.145657453231
2.0,-20514.375166998485
2.3333333333333335,-16701.079113025073
2.6666666666666665,-13187.084373837564
3.0,-20376.691646283893
3.3333333333333335,-16058.665544469999
3.6666666666666665,-15107.190828998213
4.0,-17913.07206366711
4.333333333333333,-16114.226367391122
4.666666666666667,-12237.682938617914
5.0,-17807.265617495177
5.333333333333333,-16618.988026307357
5.666666666666667,-13571.712336146182
6.0,-19602.20693280642
6.333333333333333,-17171.077839373454
6.666666666666667,-17418.233212147516
7.0,-21220.989812049425
7.333333333333333,-16496.678261322024
7.666666666666667,-13667.49376523585
8.0,-21355.19483154481
8.333333333333334,-16709.41715333139
8.666666666666666,-14275.3566169258
9.0,-18659.415272482856
9.333333333333334,-18245.4799679813
9.666666666666666,-12342.755047544597
10.0,-21155.232618306854
10.333333333333334,-15455.039292215455
10.666666666666666,-12837.630791746082
11.0,-21072.861998361444
11.333333333333334,-17138.282284377878
11.666666666666666,-12505.699782143332
12.0,-21048.184789339215
12.333333333333334,-18904.806817569814
12.666666666666666,-15268.810128167963
13.0,-23828.508289543155
13.333333333333334,-18763.315344394723
13.666666666666666,-15683.597398421707
14.0,-19008.65438578107
14.333333333333334,-19036.630820395098
14.666666666666666,-15805.975140747536
15.0,-22278.35167863541
15.333333333333334,-21153.975852304946
15.666666666666666,-20475.471029083103
16.0,-23909.90714585683
16.333333333333332,-18779.99400649339
16.666666666666668,-15182.23922536448
17.0,-19164.216174403602
17.333333333333332,-19478.934486145612
17.666666666666668,-15975.706415740082
18.0,-22792.322943361974
18.333333333333332,-21082.441675039372
18.666666666666668,-16559.406411995067
19.0,-22656.406954928512
19.333333333333332,-19020.66367576354
19.666666666666668,-14340.722943389852
20.0,-21933.38110338469
