,Time,Incidence
0,0.0,0
1,0.336,0
2,0.6709999999999999,0
3,1.005999755859375,0
4,1.349999755859375,0
5,1.685999755859375,0
6,2.021999755859375,0
7,2.356,0
8,2.6910000000000003,0
9,3.026000244140625,0
10,3.362000244140625,0
11,3.708,0
12,4.043,0
13,4.38,0
14,4.613,0
15,4.948,0
16,5.2829999999999995,0
17,5.629999755859375,0
18,5.965,0
19,6.3,0
20,6.635,0
21,6.971,0
22,7.306000244140625,0
23,7.641,0
24,7.976,0
25,8.311,0
26,8.648,0
27,9.013999755859377,0
28,9.371,0
29,9.716000000000001,0
30,9.94,0
31,10.275,0
32,10.610000244140622,0
33,10.945,0
34,11.282000244140624,0
35,11.64,0
36,11.986000244140625,0
37,12.331,0
38,12.677999755859375,0
39,13.026000244140626,0
40,13.380999999999998,0
41,13.617,0
42,13.962000244140626,0
43,14.297,0
44,14.633,0
45,15.013,0
46,15.360999999999999,0
47,15.617,0
48,15.997,0
49,16.378000244140626,0
50,16.648,0
51,17.026000244140626,0
52,17.306000244140623,0
53,17.706000244140625,0
54,17.942999999999998,0
55,18.297,0
56,18.632,0
57,18.967,0
58,19.338000244140623,0
59,19.715,0
60,19.964000000000002,0
61,20.36599975585937,3
62,20.633000000000003,2
63,20.978000244140624,2
64,21.348000000000003,0
65,21.71799975585937,0
66,21.949,0
67,22.296,0
68,22.642000244140625,0
69,22.976,0
70,23.33399975585937,0
71,23.68,0
72,24.015,0
73,24.349999755859372,0
74,24.68599975585937,0
75,25.044,0
76,25.392,0
77,25.659000000000002,0
78,26.03799975585937,0
79,26.274000244140623,0
80,26.618000244140624,0
81,26.964000000000002,0
82,27.299,0
83,27.634000244140626,0
84,27.969,0
85,28.306000244140623,0
86,28.651,0
87,28.98600024414063,0
88,29.320999999999998,0
89,29.656999999999996,0
90,29.991,0
91,30.326999999999998,0
92,30.661999755859377,0
93,30.99799975585937,0
94,31.346999999999998,0
95,31.690000244140624,0
96,32.025,0
97,32.36,0
98,32.695,0
99,33.02999975585937,0
100,33.365,0
101,33.7,0
102,34.035,0
103,34.371,0
104,34.707,0
105,35.052,0
106,35.275,0
107,35.621999755859385,0
108,35.957,2
109,36.292,3
110,36.626999999999995,3
111,36.96200024414063,3
112,37.297,1
113,37.632,0
114,37.968,0
115,38.301999755859384,0
116,38.649,0
117,38.995,0
118,39.330000244140635,0
119,39.665,0
120,40.0,0
121,40.335,0
122,40.669999755859365,0
123,41.016999999999996,0
124,41.351000000000006,0
125,41.685999755859385,0
126,42.032,0
127,42.368,0
128,42.703,0
129,43.037999755859374,0
130,43.373000000000005,0
131,43.708,0
132,44.043,0
133,44.378000244140615,0
134,44.714000244140635,0
135,44.948,0
136,45.283,0
137,45.61800024414062,0
138,45.954000244140616,0
139,46.288999999999994,0
140,46.623000000000005,0
141,46.958999999999996,0
142,47.29399975585938,0
143,47.629,0
144,47.964,0
145,48.299,0
146,48.634000244140616,0
147,48.968999999999994,0
148,49.306000244140634,0
149,49.650000244140635,1
150,49.986000244140634,3
151,50.32200024414063,3
152,50.656000000000006,2
153,50.99100000000001,0
154,51.325999755859385,0
155,51.661,0
156,51.996,0
157,52.331,0
158,52.66600024414063,0
159,53.001000000000005,0
160,53.336000000000006,0
161,53.683,0
162,54.018000244140616,0
163,54.353,0
164,54.688,0
165,55.034000244140636,0
166,55.370000244140634,0
167,55.705,0
168,56.04,0
169,56.375,0
170,56.709999755859386,0
171,57.045999755859384,0
172,57.28,0
173,57.615,0
174,57.949999755859366,0
175,58.285,0
176,58.62,0
177,58.955,0
178,59.290000244140614,0
179,59.626000244140634,0
180,59.96,0
181,60.29600000000001,0
182,60.653,0
183,60.989,0
184,61.323,0
185,61.657,0
186,61.992,0
187,62.328,0
188,62.663000000000004,2
189,62.99799975585938,3
190,63.33399975585939,3
191,63.669,3
192,63.970000244140635,0
193,64.30600024414062,0
194,64.641,0
195,64.975,0
196,65.311,0
197,65.64599975585938,0
198,65.98100000000001,0
199,66.316,0
200,66.65100000000001,0
201,66.997,0
202,67.332,0
203,67.668,0
204,68.00200024414063,0
205,68.33800024414063,0
206,68.673,0
207,69.008,0
208,69.343,0
209,69.67799975585936,0
210,70.013,0
211,70.348,0
212,70.683,0
213,71.01899999999999,0
214,71.35300000000001,0
215,71.689,0
216,72.024,0
217,72.35799975585938,0
218,72.69399975585938,0
219,73.029,0
220,73.36399999999999,0
221,73.699,0
222,74.03400024414063,0
223,74.369,0
224,74.704,0
225,75.04,0
226,75.375,0
227,75.709,0
228,76.044,0
229,76.37899999999999,1
230,76.71400024414062,3
231,77.04899999999999,3
232,77.273,2
233,77.608,3
234,77.943,3
235,78.27799975585937,3
236,78.613,0
237,78.94800000000001,0
238,79.28399999999999,0
239,79.61800024414063,0
240,79.95400024414063,0
241,80.289,0
242,80.624,0
243,80.96,0
244,81.295,0
245,81.62999975585937,0
246,81.965,0
247,82.3,0
248,82.635,0
249,82.97000024414062,0
250,83.30600024414062,0
251,83.64,0
252,83.976,0
253,84.30999975585938,0
254,84.64599975585938,0
255,84.98100000000001,0
256,85.316,0
257,85.65100000000001,0
258,85.98600024414063,0
259,86.321,0
260,86.656,0
261,86.991,0
262,87.32599975585937,0
263,87.661,0
264,87.99600000000001,0
265,88.331,0
266,88.66600024414062,0
267,89.001,0
268,89.336,0
269,89.67200000000001,0
270,90.007,0
271,90.34199975585938,0
272,90.677,0
273,91.012,1
274,91.34700000000001,3
275,91.68299999999999,3
276,92.01700000000001,3
277,92.353,3
278,92.68799999999999,3
279,93.023,2
