,3DI_01,3DI_02,3DI_03,3DI_04,3DI_05,3DI_06,3DI_07,3DI_08,3DI_09,3DI_10,3DI_11,3DI_12,3DI_13,3DI_14,3DI_15,3DI_16,3DI_17,3DI_18,3DI_19,3DI_20,3DI_21,3DI_22,3DI_23,3DI_24,3DI_25,3DI_26,3DI_27,3DI_28,3DI_29,3DI_30
PLCC,0.029715284428568738,0.08055033137656348,0.04648153256229332,-0.023484552190312424,0.09805803875421486,-0.007347009378360401,-0.028436044560208075,0.19914565107959337,-0.07689038916833164,-0.006084804247957959,0.0,0.1179735076070779,0.005813273845124426,0.022512301594117615,0.08384556235449296,0.1105682347741442,0.0420907658396503,0.09034929069459145,-0.003663707095320279,-0.01330034421881393,0.0,0.0,0.12062257483280431,-0.033452478150493604,0.0,0.0,0.020856879064219132,-0.025788139485122836,0.060320520181727406,0.03990155709771432
PLCC_p-value,0.5992958681769907,0.1537928489378536,0.4110028241144956,0.6779884040846874,0.08227627806456608,0.8966614944268361,0.6151154335546187,0.00037637579775045643,0.17343161344127953,0.9143397912929301,1.0,0.036365980185531936,0.9181486363325013,0.6906185889141901,0.13759396514047312,0.049925078922445874,0.456636283206863,0.10950085101777915,0.9483602631936807,0.8141081124913919,1.0,1.0,0.03234285308552943,0.5541668203197306,1.0,1.0,0.7123205104559721,0.6484256895124354,0.2858368147796013,0.4804070234643796
SROCC,0.05795747444257716,0.07600851903235958,0.06320837237179325,0.01626164722307741,0.13177874048143215,0.024911584566518985,-0.013098146747824049,0.20314976583677263,-0.13188549095962615,-0.060584972628349595,,0.14706074915940584,0.03869668521517018,0.029834751556406237,0.09445638844603743,0.11865996974222749,0.06780710278710465,0.1351106239406781,0.020406187682364896,0.01843288672255674,,,0.13818367633119794,0.011510987644701102,,,0.09503476255427398,0.020938582476796693,0.12378544579283579,0.1101023321497527
SROCC_p-value,0.3051669789178655,0.17843102595587415,0.2633551209793,0.7737392845609167,0.019296393443335787,0.6596130966921836,0.81688382356693,0.000284376725432192,0.01919782989401223,0.28372595201992273,,0.008951007286303466,0.4937705865309623,0.5978279026794742,0.09422626649579878,0.03528472042466587,0.23011838938093665,0.016419509379236717,0.7182701611826738,0.7445163740941242,,,0.01410597680601543,0.8387486936039389,,,0.0922189445726561,0.7112437812855935,0.028042259491770177,0.05090340346742593
KENDALL,0.0473769256625518,0.06214106977983057,0.050958386747685616,0.013204946686960284,0.10610448564590978,0.02036608663541376,-0.010815151399354333,0.16549669156628588,-0.10747428357092328,-0.049603464605466344,,0.11894699033249961,0.031749359662740076,0.024398608622687903,0.07664988097699513,0.09719668814747433,0.05473438316480974,0.11011607180589363,0.01682966626242931,0.01542894363734935,,,0.11250123119912411,0.008714918478335188,,,0.07591250847222202,0.017060224103606,0.10026700754376992,0.08838227004711062
KENDALL_p-value,0.30322145200507145,0.17505289120627943,0.2657552562544111,0.7737057497493003,0.020212427030352458,0.6584939475640557,0.814357662727283,0.0003018872499679888,0.019741448280800915,0.28144402081481656,,0.009164976981432066,0.4897447754066243,0.5970322099995373,0.09181753302168645,0.03500552251888654,0.22982669677237644,0.01659313526575152,0.7149718851177569,0.7367768138610745,,,0.014486180057868748,0.8486592499798936,,,0.09400761267731209,0.7114151756319395,0.02906346229737599,0.05134107926252366
