Time,MP Entropy,Incidence
0.000000,0.000000,0.000000
0.336000,-68.549622,0.000000
0.671000,-68.775670,0.000000
1.005000,-69.288646,0.000000
1.341000,-69.221936,0.000000
1.675000,-69.092395,0.000000
2.011000,-67.476018,0.000000
2.346000,-65.520734,0.000000
2.681000,-67.810295,0.000000
3.016000,-71.266508,0.000000
3.351000,-66.140833,0.000000
3.687000,-68.498381,0.000000
4.021000,-66.081818,0.000000
4.356000,-65.485798,0.000000
4.703000,-67.570444,0.000000
5.038000,-68.906989,0.000000
5.373000,-68.240696,0.000000
5.708000,-68.396921,0.000000
6.043000,-67.921605,0.000000
6.378000,-67.648255,0.000000
6.713000,-68.137337,0.000000
7.048000,-67.797438,0.000000
7.383000,-67.134927,0.000000
7.607000,-72.119422,0.000000
7.942000,-68.171596,0.000000
8.277000,-67.795302,0.000000
8.612000,-67.511724,0.000000
8.947000,-68.920085,0.000000
9.283000,-72.264279,0.000000
9.617000,-74.302281,0.000000
9.953000,-74.948950,0.000000
10.288000,-70.546590,0.000000
10.623000,-43.019330,0.000000
10.958000,-44.248625,0.000000
11.293000,-44.856944,0.000000
11.628000,-43.990404,0.000000
11.963000,-43.725106,0.000000
12.298000,-75.932873,0.000000
12.644000,-21.493592,0.000000
12.979000,-20.829778,0.000000
13.314000,-85.930402,0.000000
13.650000,-85.250939,0.000000
13.984000,-48.900534,0.000000
14.320000,-47.669515,0.000000
14.655000,-45.635994,0.000000
14.990000,-46.527251,0.000000
15.325000,-47.430845,0.000000
15.660000,-81.386501,0.000000
15.995000,-81.167981,0.000000
16.331000,-46.913037,0.000000
16.665000,-46.299513,0.000000
17.001000,-45.214736,0.000000
17.336000,-45.652842,0.000000
17.671000,-44.344861,0.000000
18.006000,-76.488295,0.000000
18.341000,-73.136188,0.000000
18.676000,-74.925438,0.000000
19.012000,-73.413818,0.000000
19.357000,-73.719987,0.000000
19.707000,-43.391509,0.000000
20.028000,-45.725960,0.000000
20.363000,-44.815747,0.000000
20.698000,-46.066091,0.000000
21.033000,29.701134,0.000000
21.368000,-22.002845,0.000000
21.703000,-20.578465,0.000000
22.039000,34.339755,0.000000
22.373000,34.834438,0.000000
22.708000,-44.379408,0.000000
23.044000,-43.391128,0.000000
23.378000,-44.582516,0.000000
23.713000,-75.809799,0.000000
24.049000,-76.193412,0.000000
24.384000,-77.971667,0.000000
24.607000,-79.406654,0.000000
24.943000,-75.960170,0.000000
25.278000,-74.036208,0.000000
25.624000,-45.382658,0.000000
25.959000,-45.824845,0.000000
26.294000,-44.361586,0.000000
26.629000,-45.250566,0.000000
26.964000,-77.782735,0.000000
27.299000,-77.778797,0.000000
27.635000,-45.686928,0.000000
27.970000,-48.881409,0.000000
28.305000,-45.743647,0.000000
28.640000,-42.617955,0.000000
28.975000,-47.579108,0.000000
29.310000,-87.321379,0.000000
29.645000,-19.126589,0.000000
29.981000,-20.468837,0.000000
30.315000,-20.678683,0.000000
30.651000,-21.006429,0.000000
30.985000,-20.862108,0.000000
31.332000,-20.624334,0.000000
31.666000,-18.026703,0.000000
32.001000,-49.183086,0.000000
32.337000,-48.346924,0.000000
32.671000,-48.944707,0.000000
33.006000,-47.953964,0.000000
33.341000,-45.193894,0.000000
33.677000,-45.463476,0.000000
34.012000,-43.880304,0.000000
34.347000,-46.596079,0.000000
34.683000,-44.802810,0.000000
35.017000,-74.757507,0.000000
35.353000,-74.545439,0.000000
35.688000,-73.891865,0.000000
36.023000,-74.249321,0.000000
36.358000,-79.603983,0.000000
36.693000,-20.636674,0.000000
37.028000,-20.916245,0.000000
37.364000,-21.267741,0.000000
37.698000,-80.837620,0.000000
38.034000,-80.099671,0.000000
38.368000,-75.871976,0.000000
38.704000,-76.689308,0.000000
39.039000,-76.193862,0.000000
39.374000,-77.107922,0.000000
39.709000,-47.035991,0.000000
40.044000,-46.233495,0.000000
40.379000,-46.292879,0.000000
40.714000,-1.761324,0.000000
41.049000,-3.624171,0.000000
41.273000,-0.733455,0.000000
41.608000,-45.505079,0.000000
41.943000,-45.700411,0.000000
42.278000,-47.005957,0.000000
42.613000,-76.501320,0.000000
42.948000,-76.723628,0.000000
43.283000,-79.241519,0.000000
43.618000,-80.406932,0.000000
43.953000,-46.834683,0.000000
44.289000,-46.209354,0.000000
44.624000,-47.176284,0.000000
44.959000,-47.431805,0.000000
45.294000,-46.841682,0.000000
45.629000,-19.339852,0.000000
45.964000,-19.357515,0.000000
46.299000,6.288868,0.000000
46.634000,6.043450,0.000000
46.970000,3.708705,0.000000
47.305000,5.232909,0.000000
47.640000,4.519309,0.000000
47.975000,-74.483855,0.000000
48.310000,-72.446062,0.000000
48.645000,-77.699308,0.000000
48.980000,-45.673698,0.000000
49.315000,-49.611492,0.000000
49.650000,-47.829543,0.000000
49.985000,-46.450172,0.000000
50.321000,-44.443030,1.000000
50.655000,-46.471327,3.000000
50.990000,-48.175189,1.000000
51.325000,-45.055141,0.000000
51.660000,-48.066007,0.000000
51.996000,-74.693021,0.000000
52.331000,-77.207414,0.000000
52.666000,-73.335844,0.000000
53.001000,-71.514896,0.000000
53.336000,-74.487765,0.000000
53.672000,-77.550912,0.000000
54.006000,-45.373876,0.000000
54.342000,-44.015505,0.000000
54.676000,-43.936649,0.000000
55.012000,-46.042636,0.000000
55.347000,-46.125839,0.000000
55.682000,-74.374134,0.000000
56.017000,-77.432892,0.000000
56.352000,-45.764085,0.000000
56.687000,-44.938557,0.000000
57.022000,-46.181172,0.000000
57.357000,-45.209088,0.000000
57.704000,-45.187302,0.000000
58.039000,-78.850708,0.000000
58.374000,-75.786259,0.000000
58.709000,-72.192679,0.000000
59.044000,-72.360055,0.000000
59.379000,-72.618149,0.000000
59.614000,3.070257,0.000000
59.948000,-0.792319,0.000000
60.284000,-2.711228,0.000000
60.619000,0.255916,0.000000
60.954000,0.864188,0.000000
61.289000,-21.401317,0.000000
61.624000,-22.221605,0.000000
61.959000,-48.096593,0.000000
62.294000,-48.388680,0.000000
62.629000,-48.286365,0.000000
62.965000,-47.225254,0.000000
63.299000,-46.362478,0.000000
63.646000,-75.013331,0.000000
63.981000,-76.359205,0.000000
64.316000,-75.462397,0.000000
64.651000,-77.118909,0.000000
64.986000,-74.086563,0.000000
65.322000,-73.710913,0.000000
65.656000,-76.834248,0.000000
65.992000,-73.706978,0.000000
66.326000,-75.823329,0.000000
66.662000,-75.444172,0.000000
66.997000,-71.722424,0.000000
67.332000,-71.563373,0.000000
67.667000,-71.710447,0.000000
68.002000,-72.816790,0.000000
68.337000,-75.763293,0.000000
68.673000,-75.751282,0.000000
69.007000,-19.814948,0.000000
69.343000,-20.550498,0.000000
69.677000,-21.000706,0.000000
70.012000,-19.193251,0.000000
70.348000,-19.557997,0.000000
70.683000,-19.882818,0.000000
71.018000,6.416922,0.000000
