Time,MP Entropy,Incidence
0.000000,0.000000,0.000000
0.336000,-69.359484,0.000000
0.671000,-69.589720,0.000000
1.005000,-70.111974,0.000000
1.341000,-70.044594,0.000000
1.675000,-69.912668,0.000000
2.011000,-68.274336,0.000000
2.346000,-66.273656,0.000000
2.681000,-68.604355,0.000000
3.016000,-72.140937,0.000000
3.351000,-66.902790,0.000000
3.687000,-69.303462,0.000000
4.021000,-66.845696,0.000000
4.356000,-66.241593,0.000000
4.703000,-68.363708,0.000000
5.038000,-69.727441,0.000000
5.373000,-69.051578,0.000000
5.708000,-69.212570,0.000000
6.043000,-68.727431,0.000000
6.378000,-68.447074,0.000000
6.713000,-68.946015,0.000000
7.048000,-68.599988,0.000000
7.383000,-67.922893,0.000000
7.607000,-72.999021,0.000000
7.942000,-68.977515,0.000000
8.277000,-68.595519,0.000000
8.612000,-68.306731,0.000000
8.947000,-69.751011,0.000000
9.283000,-73.172583,0.000000
9.617000,-75.248557,0.000000
9.953000,-75.898965,0.000000
10.288000,-71.399762,0.000000
10.623000,-70.062987,0.000000
10.958000,-40.967201,0.000000
11.293000,-41.421519,0.000000
11.628000,-40.636948,0.000000
11.963000,-40.419466,0.000000
12.298000,-76.908122,0.000000
12.644000,-24.068106,0.000000
12.979000,-23.641614,0.000000
13.314000,-87.114204,0.000000
13.650000,-86.419311,0.000000
13.984000,-46.333968,0.000000
14.320000,-45.290550,0.000000
14.655000,-43.456545,0.000000
14.990000,-44.250528,0.000000
15.325000,-44.979451,0.000000
15.660000,-82.467250,0.000000
15.995000,-82.240738,0.000000
16.331000,-77.606977,0.000000
16.665000,-44.028950,0.000000
17.001000,-43.091464,0.000000
17.336000,-43.489731,0.000000
17.671000,-42.353865,0.000000
18.006000,-77.469664,0.000000
18.341000,-74.049785,0.000000
18.676000,-75.879987,0.000000
19.012000,-74.334698,0.000000
19.357000,-74.647202,0.000000
19.707000,-70.900303,0.000000
20.028000,-41.935524,0.000000
20.363000,-41.301862,0.000000
20.698000,-42.241547,0.000000
21.033000,40.314734,0.000000
21.368000,-24.455534,0.000000
21.703000,-23.390819,0.000000
22.039000,-24.195110,0.000000
22.373000,46.353897,0.000000
22.708000,-40.921561,0.000000
23.044000,-40.183416,0.000000
23.378000,-41.108782,0.000000
23.713000,-76.777856,0.000000
24.049000,-77.168052,0.000000
24.384000,-78.987905,0.000000
24.607000,-80.446941,0.000000
24.943000,-76.933102,0.000000
25.278000,-74.966180,0.000000
25.624000,-43.259142,0.000000
25.959000,-43.644473,0.000000
26.294000,-42.360420,0.000000
26.629000,-43.121071,0.000000
26.964000,-78.795633,0.000000
27.299000,-78.783119,0.000000
27.635000,-74.328264,0.000000
27.970000,-46.269927,0.000000
28.305000,32.417861,0.000000
28.640000,-40.777790,0.000000
28.975000,-45.079739,0.000000
29.310000,-88.549711,0.000000
29.645000,-23.393897,0.000000
29.981000,-24.346034,0.000000
30.315000,-24.373294,0.000000
30.651000,-24.660667,0.000000
30.985000,-24.400045,0.000000
31.332000,-24.371359,0.000000
31.666000,-22.621781,0.000000
32.001000,-44.388573,0.000000
32.337000,-43.712676,0.000000
32.671000,-44.180609,0.000000
33.006000,-43.487065,0.000000
33.341000,-41.619714,0.000000
33.677000,-41.801819,0.000000
34.012000,38.759281,0.000000
34.347000,-42.681077,0.000000
34.683000,-41.357782,0.000000
35.017000,-75.698847,0.000000
35.353000,-75.477126,0.000000
35.688000,-74.807760,0.000000
