Time,MPEntropy
0.333333,0.23333333333333334
0.666667,0.23333333333333334
1.0,0.23333333333333334
1.333333,0.35
1.666667,0.35
2.0,0.35
2.333333,0.35
2.666667,0.35
3.0,0.23333333333333334
3.333333,0.25
3.666667,0.25
4.0,0.25
4.3333330000000005,0.16666666666666666
4.6666669999999995,0.16666666666666666
5.0,0.23333333333333334
5.3333330000000005,0.16666666666666666
5.6666669999999995,0.16666666666666666
6.0,0.16666666666666666
6.3333330000000005,0.35
6.6666669999999995,0.35
7.0,0.25
7.3333330000000005,0.25
7.6666669999999995,0.25
8.0,0.25
8.333333,0.25
8.666667,0.25
9.0,0.25
9.333333,0.23333333333333334
9.666667,0.23333333333333334
10.0,0.23333333333333334
10.333333,0.23333333333333334
10.666667,0.23333333333333334
11.0,0.25
11.333333,0.25
11.666667,0.25
12.0,0.25
12.333333,0.35
12.666667,0.35
13.0,0.35
13.333332999999998,0.35
13.666667000000002,0.35
14.0,0.16666666666666666
14.333332999999998,0.35
14.666667000000002,0.16666666666666666
15.0,0.16666666666666666
15.333332999999998,0.16666666666666666
15.666667000000002,0.16666666666666666
16.0,0.25
16.333333,0.35
16.666667,0.35
17.0,0.35
17.333333,0.35
17.666667,0.35
18.0,0.35
18.333333,0.35
18.666667,0.35
19.0,0.23333333333333334
19.333333,0.23333333333333334
19.666667,0.23333333333333334
20.0,0.23333333333333334
