Time,MPEntropy
0.333333,-144896.2494316286
0.666667,-152340.84455845508
1.0,-141648.78386766015
1.333333,-149572.11099214657
1.666667,-152461.61377977254
2.0,-143033.4819981879
2.333333,-147120.6011152889
2.666667,-150532.47273789797
3.0,-143413.93494972153
3.333333,-149398.50914273201
3.666667,-145509.7809214269
4.0,-142337.09069899106
4.3333330000000005,-147930.26163583694
4.6666669999999995,-158068.20772566512
5.0,-149433.0261448642
5.3333330000000005,-150575.43493988295
5.6666669999999995,-154949.9940176805
6.0,-144640.528240016
6.3333330000000005,-149683.1860465702
6.6666669999999995,-144014.61991675818
7.0,-137234.41284516902
7.3333330000000005,-143717.46582504385
7.6666669999999995,-147986.00674789964
8.0,-140064.9502987344
8.333333,-146429.4301142611
8.666667,-146407.67697876188
9.0,-137221.48730892356
9.333333,-138202.0510075119
9.666667,-148634.66628321915
10.0,-138330.4607045482
10.333333,-142096.39785275472
10.666667,-146811.55117127948
11.0,-136493.40006812895
11.333333,-140529.36522289139
11.666667,-148719.01284834323
12.0,-138076.6370831627
12.333333,-139767.22418252655
12.666667,-142618.51062252885
13.0,-124866.7728909747
13.333332999999998,-127665.881135258
13.666667000000002,-130236.69208244905
14.0,-130580.71862312431
14.333332999999998,-123388.63778057609
14.666667000000002,-132842.71097222727
15.0,-121903.30473352975
15.333332999999998,-126398.75918764023
15.666667000000002,-130921.06103006126
16.0,-130500.24119516993
16.333333,-145395.9112092678
16.666667,-144201.16633380277
17.0,-138138.49633517378
17.333333,-134247.6229467445
17.666667,-131133.57625693863
18.0,-121029.31356830717
18.333333,-131096.93449418308
18.666667,-135348.50608385584
19.0,-130279.08873632815
19.333333,-137711.60596201278
19.666667,-147100.6109631396
20.0,-139637.6658672635
