Time,MPEntropy
0.333333,-111236.48456563555
0.666667,-110730.99250912918
1.0,-110305.42731766107
1.333333,-110749.913787336
1.666667,-110906.19075330623
2.0,-110529.29632421798
2.333333,-111328.38908536492
2.666667,-131920.53763297285
3.0,-130417.59412890664
3.333333,-131663.14654853047
3.666667,-130981.44007422004
4.0,-130118.8315427549
4.3333330000000005,-131909.9308671996
4.6666669999999995,-131435.9819895323
5.0,-131119.06994759553
5.3333330000000005,-130879.9757103241
5.6666669999999995,-128757.4854269524
6.0,-124059.08277305285
6.3333330000000005,-121123.9440245022
6.6666669999999995,-123463.83592163374
7.0,-97996.48281329092
7.3333330000000005,-96643.09124573952
7.6666669999999995,-95174.79123591693
8.0,-95150.11083528853
8.333333,-95864.43734366198
8.666667,-94413.81328894407
9.0,-92117.62310355327
9.333333,-116275.26053800933
9.666667,-131159.36254771517
10.0,-129523.31092145541
10.333333,-128406.57608787976
10.666667,-124158.98692630003
11.0,-122298.93631363098
11.333333,-120873.07716278802
11.666667,-117610.20407709155
12.0,-113273.14097628849
12.333333,-110991.52827693021
12.666667,26145.87779491662
13.0,-90921.50077304189
13.333332999999998,-92413.04877916956
13.666667000000002,-93512.36058595676
14.0,-101775.09754178635
14.333332999999998,-112516.56840833818
14.666667000000002,-111010.86359762504
15.0,-111001.1013709104
15.333332999999998,-111490.5201054329
15.666667000000002,-111619.73260951063
16.0,24644.843014152168
16.333333,-131789.9323132024
16.666667,-131543.34932783648
17.0,-130369.79284784145
17.333333,-132112.83636599826
17.666667,-131237.90100990073
18.0,-131697.57697949567
18.333333,-132735.2712711998
18.666667,-131915.43147758557
19.0,-131155.16382773206
19.333333,-131802.9319555499
19.666667,-130886.09581695644
20.0,-130011.77705809427
