Time,MPEntropy
0.333333,-83618.84308401184
0.666667,-78249.58875480718
1.0,-78594.63664725535
1.333333,-80022.44625996181
1.666667,-92577.4328218673
2.0,-91159.28400049334
2.333333,-91830.7698838434
2.666667,-86993.32070766392
3.0,-78649.41904614875
3.333333,-80117.71349958944
3.666667,-75896.86273653376
4.0,-75777.91178719809
4.3333330000000005,-71963.42903178884
4.6666669999999995,-70717.65233765023
5.0,-74186.90159819055
5.3333330000000005,-59211.13730571517
5.6666669999999995,-61321.9062325256
6.0,-62938.84906868934
6.3333330000000005,-65315.45489251852
6.6666669999999995,-87597.07125513605
7.0,-62969.58526320837
7.3333330000000005,-63731.99215318608
7.6666669999999995,-70318.25066551258
8.0,-71963.0955062173
8.333333,-66131.49571033072
8.666667,-72049.39206489337
9.0,-92164.05796745059
9.333333,-88594.2254913261
9.666667,-87840.93050967077
10.0,-91093.9418951218
10.333333,-91117.69376464261
10.666667,-92108.53808430624
11.0,-91578.91371854828
11.333333,-78262.60053384112
11.666667,-78286.77841197178
12.0,-81416.07535225207
12.333333,-82469.5583298695
12.666667,-78307.53250189182
13.0,-78089.47314156302
13.333332999999998,-77603.62156887581
13.666667000000002,-89677.12528967657
14.0,-88024.79998829192
14.333332999999998,-87270.98388738741
14.666667000000002,-84412.52560327228
15.0,-82769.22768796823
15.333332999999998,-80962.69148817864
15.666667000000002,-80262.17643750213
16.0,-72578.33347770394
16.333333,-87185.82089813819
16.666667,-66622.27675286825
17.0,-60077.69251947712
17.333333,-62176.44196310566
17.666667,-63348.619212543425
18.0,-90678.41169680888
18.333333,-64344.61062346119
18.666667,-62998.47018413364
19.0,-60415.459623883224
19.333333,-59093.09534190549
19.666667,-91985.45516684889
20.0,-66517.1481628171
