Time,MPEntropy
0.333333,-70592.86320560654
0.666667,-69535.1318092584
1.0,-69380.038479451
1.333333,-69031.00324475007
1.666667,-111646.00128593273
2.0,-105569.77066259949
2.333333,-108741.0146028353
2.666667,-111091.42282025768
3.0,-104540.62845463751
3.333333,-107621.19795132917
3.666667,-109117.05939216416
4.0,-105818.73728981867
4.3333330000000005,-107047.98421917272
4.6666669999999995,-105062.9826904359
5.0,-103226.47317343924
5.3333330000000005,-104724.04345114765
5.6666669999999995,-106474.03760923276
6.0,-85220.5914932315
6.3333330000000005,-84016.53876911891
6.6666669999999995,-85895.6190669589
7.0,-77712.24986268322
7.3333330000000005,-82421.55575982499
7.6666669999999995,-82819.3004811253
8.0,-82868.63592733529
8.333333,-75670.70915204562
8.666667,-79697.36245347891
9.0,-87162.2583756334
9.333333,-93898.961147018
9.666667,-97327.81729591888
10.0,-96298.30184258046
10.333333,-99020.89323972903
10.666667,-96927.96355152324
11.0,-94730.7083921713
11.333333,-93707.08599955348
11.666667,-93630.86897433721
12.0,-61868.03985760211
12.333333,-63331.51982405543
12.666667,-65771.49534864143
13.0,-71332.89096943972
13.333332999999998,-65810.44949125382
13.666667000000002,-63710.8662848639
14.0,-62802.00285059693
14.333332999999998,-61866.247973794634
14.666667000000002,-62333.39349741472
15.0,-62569.12002226308
15.333332999999998,-63289.110426040796
15.666667000000002,-63718.24035082016
16.0,-63958.9782278913
16.333333,-62662.163165097234
16.666667,-62782.571327880214
17.0,-59512.99689467538
17.333333,-58176.25626123941
17.666667,-61557.09572959326
18.0,-78360.94379764213
18.333333,-82975.4001640177
18.666667,-80838.73470096018
19.0,-81671.53505968631
19.333333,-78501.38067603389
19.666667,-86305.63861073143
20.0,-83789.50956204766
