time,MPentropy/
0.3333333333333333,-28735.496729648814
0.6666666666666666,-26555.885937836516
1.0,-31694.152624498405
1.3333333333333333,-29007.079853317075
1.6666666666666667,-26764.535548885953
2.0,-31574.649005152307
2.3333333333333335,-29135.460821779146
2.6666666666666665,-29692.98530965731
3.0,-32357.157078807304
3.3333333333333335,-30316.060212482
3.6666666666666665,-26958.119922169477
4.0,-31223.703468559725
4.333333333333333,-26642.336016457277
4.666666666666667,-29483.033920384554
5.0,-31891.040756239086
5.333333333333333,-30161.569886093093
5.666666666666667,-28308.907182862902
6.0,-32875.87222161921
6.333333333333333,-29826.613216196896
6.666666666666667,-27557.794408437632
7.0,-33265.188364528
7.333333333333333,-29784.383276175842
7.666666666666667,-27914.146087779605
8.0,-31207.374837291678
8.333333333333334,-29168.774762745525
8.666666666666666,-28136.950188575654
9.0,-31892.15450616009
9.333333333333334,-29370.30801982264
9.666666666666666,-26220.550025753248
10.0,-31234.304127909243
10.333333333333334,-29159.46503635323
10.666666666666666,-27889.70679905335
11.0,-31972.047975891834
11.333333333333334,-30509.56141108864
11.666666666666666,-28364.600563325555
12.0,-31700.76950236389
12.333333333333334,-30834.93906855034
12.666666666666666,-31358.46677431768
13.0,-32063.99786511538
13.333333333333334,-30316.78922303561
13.666666666666666,-28037.748338090903
14.0,-32156.01680673832
14.333333333333334,-29173.863245732216
14.666666666666666,-29111.32391174386
15.0,-33582.11786479011
15.333333333333334,-31401.248743899774
15.666666666666666,-31902.01325899591
16.0,-31554.250645001983
16.333333333333332,-27575.872649426703
16.666666666666668,-27970.22054572364
17.0,-32853.483725554484
17.333333333333332,-29577.99690804146
17.666666666666668,-30201.413586744344
18.0,-32572.564712167106
18.333333333333332,-31540.368630618843
18.666666666666668,-30022.383052883742
19.0,-32515.267972719885
19.333333333333332,-31994.411142510522
19.666666666666668,-32446.785338107307
20.0,-29862.5653162469
