Time,XVehicleVelocity,YVehicleVelocity,ZVehicleVelocity,XVehicleAcceleration,YVehicleAcceleration,ZVehicleAcceleration,RollEulerAnglesVelocity,PitchEulerAnglesVelocity,YawEulerAnglesVelocity,RollEulerAnglesAcceleration,PitchEulerAnglesAcceleration,YawEulerAnglesAcceleration,RollAngle,PitchAngle,YawAngle,HMDRollAngle,HMDPitchAngle,HMDYawAngle,RollEulerAngle,PitchEulerAngle,YawEulerAngle,DizzinessRange,,
10/10/2018 14:32:47.819 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023284912,90.00000035,1.682600617,-8.170043945,-1.493682861,-0.2,0.47,98.97,0,,
10/10/2018 14:32:47.931 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023284912,90.00000035,1.668193102,-8.146575928,-1.4012146,-0.2,0.47,98.97,0,,
10/10/2018 14:32:48.043 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023284912,90.00000035,1.683852673,-8.203033447,-1.35836792,-0.19,0.47,98.97,0,,어지럼증
10/10/2018 14:32:48.154 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023284912,90.00000035,1.664265037,-8.278747559,-1.458190918,-0.19,0.47,98.97,0,,84
10/10/2018 14:32:48.266 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023284912,90.00000035,1.671559572,-8.347229004,-1.285308838,-0.19,0.48,98.97,0,,
10/10/2018 14:32:48.378 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023284912,90.00000035,1.669787645,-8.310760498,-1.34072876,-0.19,0.48,98.97,0,,
10/10/2018 14:32:48.490 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023284912,90.00000035,1.658871889,-8.2762146,-1.303283691,-0.19,0.48,98.97,0,,
10/10/2018 14:32:48.601 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023284912,90.00000035,1.666861415,-8.292449951,-1.238708496,-0.19,0.47,98.97,0,,
10/10/2018 14:32:48.724 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023284912,90.00000035,1.702156782,-8.425384521,-1.332183838,-0.19,0.47,98.97,0,,
10/10/2018 14:32:48.836 PM,0,0,0,0,0,0,0,0.000164583,0,0,1.60E-05,0,0,-16.44448859,90.00000035,1.707150102,-8.398223877,-1.261322021,-0.19,0.47,98.97,0,,
10/10/2018 14:32:48.948 PM,0,0,0,0,0,0,0,0.000191748,0,0,3.89E-05,0,0,-16.54379279,90.00000035,1.693683624,-8.468048096,-1.227264404,-0.19,0.47,98.97,0,,
10/10/2018 14:32:49.059 PM,0,0,0,0,0,0,0,0.00015979,0,0,1.86E-05,0,0,-16.63806159,90.00000035,1.705123186,-8.416473389,-1.241882324,-0.19,0.47,98.97,0,,
10/10/2018 14:32:49.170 PM,0,0,0,0,0,0,0,0.000175236,0,0,3.83E-05,0,0,-16.72848517,90.00000035,1.679298759,-8.407684326,-1.207763672,-0.19,0.46,98.97,0,,
10/10/2018 14:32:49.283 PM,0,0,0,0,0,0,0,0.000138484,0,0,-2.72E-05,0,0,-16.81591803,90.00000035,1.726399422,-8.456695557,-1.185821533,-0.18,0.46,98.97,0,,
10/10/2018 14:32:49.394 PM,0,0,0,0,0,0,0,0.000137419,0,0,-1.60E-06,0,0,-16.89758307,90.00000035,1.671152711,-8.332580566,-1.217346191,-0.19,0.46,98.97,0,,
10/10/2018 14:32:49.506 PM,0,0,0,0,0,0,0,0.000142213,0,0,1.38E-05,0,0,-16.97442634,90.00000035,1.738826156,-8.400054932,-1.152893066,-0.19,0.47,98.96,0,,
10/10/2018 14:32:49.618 PM,0,0,0,0,0,0,0,0.000120375,0,0,-2.66E-06,0,0,-17.04803473,90.00000035,1.744742632,-8.287902832,-1.209594727,-0.19,0.47,98.97,0,,
10/10/2018 14:32:49.729 PM,0,0,0,0,0,0,0,0.00012144,0,0,1.28E-05,0,0,-17.116211,90.00000035,1.814400554,-8.349090576,-1.189422607,-0.19,0.47,98.97,0,,
10/10/2018 14:32:49.841 PM,1.396044347,0.414796907,0,0,0.000346241,0,0,0.000254598,0,0,1.28E-05,0,0,-17.2467652,90.00000035,1.80683291,-8.362609863,-1.207183838,-0.19,0.47,98.97,0,,
10/10/2018 14:32:49.953 PM,1.338720815,0.402704635,0,0,0,0,0,0.000223706,0,0,1.38E-05,0,0,-17.38198859,90.00000035,1.754086137,-8.28805542,-1.246520996,-0.19,0.46,98.97,0,,
10/10/2018 14:32:50.064 PM,1.300846203,0.395473305,0,-0.032119659,-0.009702814,0,0,0.000190682,0,0,-1.38E-05,0,0,-17.50421149,90.00000035,1.716046453,-8.365386963,-1.107818604,-0.19,0.47,98.97,0,,
10/10/2018 14:32:50.176 PM,1.33364735,0.4096493,0,0.016263992,0.005082498,0,0,0.000170975,0,0,-1.07E-05,0,0,-17.61068733,90.00000035,1.710144758,-8.2684021,-1.181488037,-0.19,0.46,98.97,0,,
10/10/2018 14:32:50.288 PM,1.29420551,0.401430996,0,0,0.000668495,0,0,0.000148072,0,0,-5.33E-06,0,0,-17.70291145,90.00000035,1.702196121,-8.138397217,-1.14263916,-0.18,0.47,98.96,0,,
10/10/2018 14:32:50.399 PM,1.272743192,0.398752074,0,-0.059829808,-0.017676989,0,0,0.000113983,0,0,-1.86E-05,0,0,-17.77929694,90.00000035,1.722032547,-8.129089355,-1.146087646,-0.18,0.46,98.96,0,,
10/10/2018 14:32:50.511 PM,1.28154672,0.404521837,0,-0.00538465,-0.000673081,0,0,8.10E-05,0,0,-1.44E-05,0,0,-17.84057624,90.00000035,1.69090116,-8.171966553,-1.227478027,-0.18,0.46,98.96,0,,
10/10/2018 14:32:50.622 PM,1.271741611,0.403559637,0,-0.103704252,-0.033430976,0,0,7.08E-05,0,0,7.99E-06,0,0,-17.8859864,90.00000035,1.62346518,-8.08996582,-1.15133667,-0.18,0.46,98.96,0,,
10/10/2018 14:32:50.735 PM,1.264725846,0.404085359,0,-0.065416854,-0.019761341,0,0,3.57E-05,0,0,-2.66E-06,0,0,-17.91571052,90.00000035,1.639936447,-8.156524658,-1.219787598,-0.18,0.46,98.96,0,,
10/10/2018 14:32:50.846 PM,1.272712561,0.407240825,0,-0.027194713,-0.010537951,0,0,3.30E-05,0,0,3.04E-05,0,0,-17.9290467,90.00000035,1.635407686,-8.054504395,-1.267089844,-0.18,0.46,98.96,0,,
10/10/2018 14:32:50.958 PM,1.336176568,0.430833083,0,0.011181394,0.002795348,0,0,-1.92E-05,0,0,0,0,0,-17.92779548,90.00000035,1.61736238,-8.003082275,-1.236999512,-0.18,0.46,98.96,0,,
10/10/2018 14:32:51.070 PM,1.288726538,0.417465139,0,-0.005483943,-0.001028239,0,0,-5.43E-05,0,0,-1.07E-05,0,0,-17.90991218,90.00000035,1.690341115,-8.06729126,-1.334625244,-0.18,0.46,98.96,0,,
10/10/2018 14:32:51.181 PM,1.274636159,0.413217646,0,-0.06096086,-0.020435743,0,0,-7.67E-05,0,0,-3.20E-06,0,0,-17.87597663,90.00000035,1.581812501,-7.945922852,-1.258880615,-0.18,0.46,98.96,0,,
10/10/2018 14:32:51.293 PM,1.293816953,0.418745736,0,0.075159491,0.022145207,0,0,-9.53E-05,0,0,0,0,0,-17.82638557,90.00000035,1.561815143,-7.930084229,-1.090545654,-0.19,0.46,98.96,0,,
10/10/2018 14:32:51.405 PM,1.301367833,0.422807271,0,0.027455018,0.009952444,0,0,-0.00012943,0,0,-1.28E-05,0,0,-17.76162727,90.00000035,1.544278264,-7.807647705,-1.158935547,-0.19,0.47,98.96,0,,
10/10/2018 14:32:51.517 PM,1.284897746,0.416350986,0,-0.038602078,-0.013786457,0,0,-0.000150202,0,0,1.65E-05,0,0,-17.68023689,90.00000035,1.582476139,-7.678375244,-1.096893311,-0.19,0.47,98.96,0,,
10/10/2018 14:32:51.628 PM,1.245425597,0.404228801,0,0.021380697,0.008017761,0,0,-0.000186421,0,0,-4.79E-06,0,0,-17.58511359,90.00000035,1.652646422,-7.539428711,-1.120574951,-0.18,0.47,98.95,0,,
10/10/2018 14:32:51.740 PM,1.317470964,0.42583528,0,0.038587016,0.012747496,0,0,-0.000206129,0,0,0,0,0,-17.47445686,90.00000035,1.711853862,-7.575256348,-1.157775879,-0.18,0.47,98.95,0,,
10/10/2018 14:32:51.852 PM,1.235790376,0.397266308,0,-0.048357015,-0.016454818,0,0,-0.000225303,0,0,-2.66E-06,0,0,-17.34997565,90.00000035,1.705407619,-7.526916504,-1.118255615,-0.18,0.46,98.95,0,,
10/10/2018 14:32:51.974 PM,1.263526479,0.405941486,0,-0.010753417,-0.00235231,0,0,-0.000268979,0,0,-1.49E-05,0,0,-17.19723517,90.00000035,1.704133511,-7.635620117,-1.119140625,-0.18,0.46,98.95,0,,
10/10/2018 14:32:52.086 PM,1.263382103,0.402601378,0,-0.037955685,-0.012200042,0,0,-0.000273773,0,0,1.33E-05,0,0,-17.04245002,90.00000035,1.736013174,-7.532531738,-1.146881104,-0.18,0.46,98.95,0,,
10/10/2018 14:32:52.198 PM,1.308376725,0.414435287,0,-0.044540484,-0.014614846,0,0,-0.000300405,0,0,5.86E-06,0,0,-16.87658698,90.00000035,1.719836235,-7.492919922,-1.081512451,-0.18,0.47,98.95,0,,
10/10/2018 14:32:52.309 PM,1.278912471,0.401014927,0,0.005419121,0,0,0,-0.000316384,-1.33E-07,0,-2.13E-06,-1.33E-07,0,-16.69741828,90.00256383,1.700538874,-7.507141113,-1.068725586,-0.18,0.47,98.95,0,,
10/10/2018 14:32:52.421 PM,1.331298714,0.415689839,0,-0.005456142,-0.000341009,0,0,-0.000357929,0,0,-2.34E-05,0,0,-16.5073548,90.00254094,1.615436077,-7.469421387,-1.063995361,-0.18,0.47,98.94,0,,
10/10/2018 14:32:52.533 PM,1.301213012,0.401885061,0,-0.048795488,-0.016265163,0,0,-0.000357396,0,0,1.70E-05,0,0,-16.3047486,90.00251042,1.606459498,-7.512237549,-0.987640381,-0.18,0.47,98.94,0,,
10/10/2018 14:32:52.644 PM,1.30377106,0.398115806,0,0.010643029,0.002328163,0,0,-0.00038456,1.33E-07,0,-1.60E-05,1.33E-07,0,-16.09280402,90.00248754,1.583164811,-7.491241455,-0.986541748,-0.19,0.47,98.94,0,,
10/10/2018 14:32:52.756 PM,1.415251481,0.427582155,0,0.067126552,0.01922896,0,0,-0.000410127,0,0,-2.66E-05,0,0,-15.87011725,90.00247228,1.559267402,-7.478546143,-0.954376221,-0.18,0.48,98.94,0,,
10/10/2018 14:32:52.868 PM,1.378074088,0.411699634,0,0,-0.001033556,0,0,-0.000407464,1.33E-07,0,9.05E-06,3.99E-07,0,-15.63793951,90.00244176,1.554371834,-7.499023438,-0.883972168,-0.19,0.48,98.94,0,,
10/10/2018 14:32:52.979 PM,1.355575454,0.400083033,0,0.021517071,0.006051676,0,0,-0.000426106,1.33E-07,0,5.33E-07,1.33E-07,0,-15.39709479,90.00241124,1.522255898,-7.417785645,-0.90826416,-0.18,0.48,98.94,0,,
10/10/2018 14:32:53.091 PM,1.370646515,0.398752074,0,0.010878147,0.00169971,0,0,-0.000434628,0,0,1.07E-06,2.66E-07,0,-15.14849859,90.00238835,1.44322145,-7.377471924,-0.794464111,-0.18,0.48,98.93,0,,
10/10/2018 14:32:53.203 PM,1.436248202,0.412306993,0,0.038227138,0.010239412,0,0,-0.000468184,-1.33E-07,0,-1.17E-05,0,0,-14.89224249,90.00235784,1.427898288,-7.388549805,-0.801483154,-0.18,0.48,98.93,0,,
10/10/2018 14:32:53.315 PM,1.370782215,0.387068484,0,-0.081919256,-0.025258437,0,0,-0.000445281,0,0,4.05E-05,0,0,-14.62857061,90.00000035,1.435959339,-7.412872314,-0.861053467,-0.18,0.48,98.93,0,,
10/10/2018 14:32:53.426 PM,1.398208625,0.388760478,0,0.047847443,0.012294135,0,0,-0.000477771,0,0,-1.54E-05,0,0,-14.36010748,90.00000035,1.413332462,-7.489013672,-0.906219482,-0.18,0.48,98.93,0,,
10/10/2018 14:32:53.538 PM,1.454660565,0.397933587,0,-0.03356909,-0.010140663,0,0,-0.000468716,0,0,2.45E-05,0,0,-14.08456426,90.00000035,1.430798173,-7.534454346,-0.917602539,-0.18,0.48,98.93,0,,
10/10/2018 14:32:53.650 PM,1.436047677,0.38617853,0,-0.077029377,-0.020632869,0,0,-0.000472977,0,0,2.66E-05,0,0,-13.80569463,90.00000035,1.311600327,-7.371032715,-0.895904541,-0.18,0.48,98.93,0,,
10/10/2018 14:32:53.761 PM,1.418021061,0.37371325,0,-0.080875726,-0.022577807,0,0,-0.000451139,-0.000152865,0,4.15E-05,3.99E-07,0,-13.52578741,89.95807683,1.299214244,-7.409759521,-0.780761719,-0.18,0.48,98.93,0,,
10/10/2018 14:32:53.873 PM,1.515553795,0.393645879,0,-0.010982274,-0.002745568,0,0,-0.000469782,-0.000336091,0,-1.12E-05,-3.68E-05,0,-13.25930791,89.82391393,1.236461282,-7.397064209,-0.784881592,-0.18,0.48,98.93,0,,
10/10/2018 14:32:53.985 PM,1.501127612,0.38210521,0,-0.038210521,-0.009211465,0,0,-0.000430367,-0.000436892,0,7.99E-06,1.20E-06,0,-13.00375371,89.60402715,1.227832913,-7.3671875,-0.685333252,-0.18,0.48,98.93,0,,
10/10/2018 14:32:54.097 PM,1.517647481,0.378051971,0,-0.01631879,-0.004419672,0,0,-0.00040267,-0.000531567,0,1.38E-05,3.82E-05,0,-12.76205449,89.31109654,1.221880078,-7.357910156,-0.646362305,-0.18,0.48,98.93,0,,
