Time,MPEntropy
0.335000244140625,-170883.2778474127
0.671000244140625,-172156.00619975396
1.016,-171386.0420640888
1.3519999999999999,-170380.7997357512
1.686,-152515.31458574446
2.022,-165962.0407125231
2.356,-156705.39710222266
2.6919999999999997,-165457.00931712764
3.026999755859375,-163986.29901690278
3.362,-152398.08111996003
3.697,-160255.6086447191
4.032,-154758.06527925382
4.367000244140625,-153850.67714069522
4.703000244140625,-158409.3236934866
5.038,-158151.42637865813
5.372999999999999,-162102.09063417153
5.607000244140625,-164341.3508571061
5.943000244140625,-161049.67232367213
6.277,-158478.04418591328
6.6129999999999995,-154031.82039281374
6.946999755859375,-153962.605585921
7.282999755859375,-152487.4501086855
7.617999999999999,-153131.1447391479
7.952999999999999,-153910.8025651687
8.288,-154111.5796696141
8.623000244140625,-155668.68317159638
8.959000244140627,-166684.69121751515
9.294,-172657.82970084643
9.628,-177630.75740659298
9.962999755859377,-165815.95894758296
10.298,-162335.1345184223
10.634,-163789.52157854033
10.969000000000001,-94905.43220447264
11.304,-93902.47178170933
11.639000244140625,-94683.25558392057
11.972999999999999,-95428.38345053747
12.309000000000001,-168608.70798350358
12.644,-55717.50975711192
12.978999755859375,-55409.14720126431
13.314,-180223.20439397247
13.649000000000001,-188279.85138917196
13.984000000000002,-179486.21244033292
14.319000244140625,-101397.89392389324
14.655000244140625,-102430.92038236649
14.99,-104106.28400751686
15.325,-106368.6682841993
15.66,-180774.14251508427
15.995999999999999,-159228.03256454025
16.33,-183746.13875406203
16.666,-100272.664084165
17.000999999999998,-104378.88357784576
17.336,-99836.69755715042
17.671000244140625,-103457.86827342196
18.006,-162828.5243601068
18.340999999999998,-198849.890510458
18.676,-166599.70342517004
19.012,-166531.1408351941
19.346,-161601.26632720162
19.682000000000002,-160207.34662678154
20.017,-95798.09637152398
20.351000244140625,-100459.63257551129
20.687000244140624,-94539.74799189508
21.022,116146.32800453431
21.357,-46636.50331260664
21.693,-50696.548639773646
22.038,-56013.34804619948
22.373,78052.40939622771
22.708000000000002,-95048.57512395011
23.044,-94360.65349595682
23.378,-101517.47537614804
23.713,-172063.3574622997
24.05899975585937,-178745.1884623341
24.28299975585937,-182631.37766211448
24.616999999999997,-174848.21352870477
24.953000000000003,-164335.46392637884
25.288,-165160.62038998332
25.623000244140623,-101035.85754673285
25.959000244140626,-98792.07832045716
26.294,-100032.55975956768
26.629,-102773.05076942556
26.964000000000002,-99957.94292123645
27.29899975585937,-165633.39445285065
27.634,-152702.66052805548
27.969,-107090.88935917341
28.304000000000002,-93586.44153383086
28.64,-96924.22418734606
28.975000244140624,-106516.76936808373
29.31,-200334.29544326095
29.645,-203624.23605846835
29.98,-46922.257836253004
30.316,-48585.11654044329
30.65,-49004.36889396637
30.986,-47131.36856700232
31.320999999999998,-45846.27518378156
31.656,-41401.31037845413
31.991000244140626,52376.93617666219
32.326,-100670.71040070817
32.661,-104805.70929375465
32.996,-98949.71229701239
33.330999755859374,-96286.8621983952
33.66699975585937,-94077.77019905068
34.001,-102315.63443063588
34.336999999999996,-100894.72573259602
34.672,-102199.69676288165
35.00700024414063,-102110.46035238879
35.342,-173136.47058361722
35.677,-174195.59942168742
36.012,-174024.34904132
36.346999755859365,-181713.9820419949
36.681999999999995,-180859.1963168275
37.018,-51330.50421876433
37.352,-51226.31894640584
37.688,-50863.056201170795
38.022,-172340.6457773328
38.358000000000004,-168401.17672303374
38.693000000000005,-174508.19270285818
39.039000244140624,-171359.41672617043
39.285,-184093.894709946
39.62,-165364.6822507519
39.954999755859376,-98021.5873382328
40.301,-103383.01406505793
40.635999999999996,-102770.69357394073
40.970999755859374,4359.613320224237
41.306000000000004,3157.6772961588567
41.641999999999996,-98626.54831370915
41.977,-102143.10299501667
42.312,-98246.53728267233
42.647000244140635,-99673.6258845471
42.981,-172085.1211255425
43.317,-171194.86835935063
43.652,-158431.54323537854
43.986999755859365,-152307.7839427627
44.321999999999996,-89438.98208070728
44.657,-89329.62668764393
44.992,-93851.32021345808
45.327000244140635,-97379.76219266462
45.662,-43707.26572410395
