,S1_pitch,S1_yaw,S1_roll,S1_surge,S1_heave,S1_sway,S2_pitch,S2_yaw,S2_roll,S2_surge,S2_heave,S2_sway,S3_pitch,S3_yaw,S3_roll,S3_surge,S3_heave,S3_sway,S4,S5,S6
PLCC,-0.06691760329353127,0.25407029849060636,-0.08729442402104574,-0.028368163122485517,0.0,0.1447366775071851,0.18631181083582452,-0.191317724642205,0.17898300654904264,0.014676900588671684,0.0,-0.08843293130482281,0.13162623212512403,0.259460247280273,-0.07976546599937298,-0.023985749031365494,0.0,0.28740075782262053,0.007421838838362404,-0.10894780939930317,-0.043253341550192434
PLCC p-val,0.6114479284254188,0.05012501325447136,0.5071874854835143,0.8296428303234404,1.0,0.26986930743507087,0.15406454427057842,0.14310354499425165,0.17121502609735137,0.9113774915814563,1.0,0.5016428170045291,0.31610466353719746,0.04529331222176656,0.5446277320156842,0.8556528925589627,1.0,0.025975948303121738,0.9212319062744534,0.14543625174999159,0.5642559460346963
SROCC,-0.16083922055782202,0.2142488768359864,-0.018793761125963718,-0.01127625667557823,,0.1715618352616768,0.17287732518764373,-0.17002915246554715,0.14941291857852276,0.0053613073519274,,-0.12143233283746371,0.15046666581253104,0.22517490878095078,-0.11652131898097506,0.0635894802200736,,0.27130720299501654,-0.03784872271132188,-0.1381855258882317,0.02331389980086322
SROCC p-val,0.21957507405578583,0.10021678399011126,0.8866645060566032,0.9318553191166039,,0.1899593318516536,0.18653365591778368,0.19400724776789577,0.25453166324718196,0.967570787781239,,0.3553558611696518,0.25115868904849,0.08366638514522423,0.37528936602523344,0.6293162485132034,,0.036008359475378456,0.6139542949063557,0.06432473871753114,0.7560652637660056
KENDALL,-0.13241452366835285,0.1763852303830196,-0.015472388630089439,-0.009283433178053663,,0.14124215857957637,0.14283472158370064,-0.13914930464568417,0.12523206964720873,0.004413817455611761,,-0.0999719126643558,0.12387508353019419,0.185380333135694,-0.09592880950655452,0.05304969616999814,,0.22335978704561749,-0.03081527308736808,-0.11314098647044225,0.018717521502887597
KENDALL p-val,0.2166707012370035,0.0998303078065152,0.885218081848892,0.9309778834340555,,0.1875734670489294,0.18086438594480514,0.19177888208688654,0.2375701665227039,0.9671516140433828,,0.35095451243103704,0.24778081543193908,0.08370153486366609,0.37077787546479346,0.6179668693417313,,0.037164700232294026,0.6128654523025777,0.06448722702311427,0.7591212829803822
