time,entropy/
0.3333333333333333,207088.43503889162
0.6666666666666666,220482.4997160776
1.0,198870.3784454417
1.3333333333333333,208792.39714599398
1.6666666666666667,213648.60759702235
2.0,193066.85083097362
2.3333333333333335,206475.8968401877
2.6666666666666665,215469.69994926392
3.0,202413.26005906134
3.3333333333333335,196508.75769345748
3.6666666666666665,200639.69889876293
4.0,169642.56193177073
4.333333333333333,194961.40980596424
4.666666666666667,184083.91795435105
5.0,153090.19109234898
5.333333333333333,170146.63316334758
5.666666666666667,188630.44041117054
6.0,210880.85303106916
6.333333333333333,212163.54642437978
6.666666666666667,220015.23104164714
7.0,213430.77614241134
7.333333333333333,223074.8439433853
7.666666666666667,230805.2253107648
8.0,211900.5235669849
8.333333333333334,245221.91683368396
8.666666666666666,183074.11726678716
9.0,201362.57799888824
9.333333333333334,208013.45292562596
9.666666666666666,207463.7905327704
10.0,198136.34725636643
10.333333333333334,199874.26520876502
10.666666666666666,200807.78029459878
11.0,193685.8410334098
11.333333333333334,178417.1583934473
11.666666666666666,180204.4902447019
12.0,155859.96712793288
12.333333333333334,173788.3591322149
12.666666666666666,190669.64774787324
13.0,163717.23359545146
13.333333333333334,183768.10583427243
13.666666666666666,199368.56321071726
14.0,180172.68673333345
14.333333333333334,194783.12576715683
14.666666666666666,207734.19011937545
15.0,194610.51394882912
15.333333333333334,196950.08493443218
15.666666666666666,212320.6436772829
16.0,192447.07482837987
16.333333333333332,215916.1908446765
16.666666666666668,205211.85138362227
17.0,200647.89730621572
17.333333333333332,206141.73412240573
17.666666666666668,213660.20304755008
18.0,200613.06113461716
18.333333333333332,205238.47351388278
18.666666666666668,210312.187270685
19.0,191466.27489595793
19.333333333333332,205600.67977914284
19.666666666666668,207618.25485596075
20.0,181989.12877453587
