time,entropy/
0.3333333333333333,160698.1002145809
0.6666666666666666,159801.19849416573
1.0,159062.2664358893
1.3333333333333333,159892.54144314927
1.6666666666666667,159993.53866680892
2.0,159300.58852154185
2.3333333333333335,160782.13084031508
2.6666666666666665,163016.1476656651
3.0,160993.15114715634
3.3333333333333335,162735.4450492778
3.6666666666666665,161837.44203888997
4.0,160648.55499456215
4.333333333333333,163076.14754146125
4.666666666666667,162460.74899854988
5.0,161941.29613044643
5.333333333333333,161739.1666461605
5.666666666666667,159091.87958615023
6.0,152946.4345027284
6.333333333333333,149182.83426996102
6.666666666666667,152119.38813583332
7.0,139935.04493761895
7.333333333333333,138436.115693751
7.666666666666667,136007.68981214234
8.0,135715.50600449083
8.333333333333334,137117.9326395788
8.666666666666666,134801.57237016226
9.0,131199.58733590122
9.333333333333334,168547.10014858659
9.666666666666666,161994.47910393367
10.0,159847.72940850264
10.333333333333334,158695.11888013725
10.666666666666666,153147.35668974323
11.0,150742.29422664447
11.333333333333334,148980.6192597478
11.666666666666666,144782.73520989873
12.0,139210.4784485127
12.333333333333334,136401.17781899747
12.666666666666666,170791.18209774495
13.0,129540.48411540415
13.333333333333334,131972.994199721
13.666666666666666,133622.41807000272
14.0,146002.16675283073
14.333333333333334,162844.86046835996
14.666666666666666,160314.73109415272
15.0,160101.4562915095
15.333333333333334,160976.27117765055
15.666666666666666,161111.15938396732
16.0,167023.9543533215
16.333333333333332,162819.1868433953
16.666666666666668,162485.04293037162
17.0,160894.63185620555
17.333333333333332,163355.41994596878
17.666666666666668,162200.00321598924
18.0,162690.23085558705
18.333333333333332,164207.23953905562
18.666666666666668,163055.22234727527
19.0,162041.47613814895
19.333333333333332,162983.69321468574
19.666666666666668,161759.4978437346
20.0,160541.21411153238
