time,entropy/
0.3333333333333333,169860.86557722397
0.6666666666666666,175268.54951307154
1.0,163067.55628682018
1.3333333333333333,173654.77361076899
1.6666666666666667,179017.29062470995
2.0,167938.4640482021
2.3333333333333335,174728.21092884798
2.6666666666666665,180429.01081969676
3.0,167228.5549575493
3.3333333333333335,171378.95556185173
3.6666666666666665,173729.53415890547
4.0,167833.37799971196
4.333333333333333,167949.12634226147
4.666666666666667,170397.75258964254
5.0,166944.86123665844
5.333333333333333,165829.3009538203
5.666666666666667,170903.15781043383
6.0,159241.7773272262
6.333333333333333,165978.9154188211
6.666666666666667,173921.46347021448
7.0,156332.59169775993
7.333333333333333,163450.06995553462
7.666666666666667,162916.78406857242
8.0,149620.93081869226
8.333333333333334,147858.66287768877
8.666666666666666,144016.4115960233
9.0,154199.08790648353
9.333333333333334,159570.9244650339
9.666666666666666,160117.52086103495
10.0,155240.64518553013
10.333333333333334,155958.45461381576
10.666666666666666,155265.75508712837
11.0,143906.6293738034
11.333333333333334,149010.0728226193
11.666666666666666,161764.69039462655
12.0,154432.14737550894
12.333333333333334,143207.82305242104
12.666666666666666,154441.47846927762
13.0,153245.13130633155
13.333333333333334,156275.34714780987
13.666666666666666,161709.8938006229
14.0,158507.98477884167
14.333333333333334,159869.56525347815
14.666666666666666,154623.5857710653
15.0,140509.3865236932
15.333333333333334,150011.07836654602
15.666666666666666,166309.03681433518
16.0,160890.30142519996
16.333333333333332,163957.90994637788
16.666666666666668,165629.33571299206
17.0,159525.47372751712
17.333333333333332,163090.6183360765
17.666666666666668,170198.8170476843
18.0,163365.55809079035
18.333333333333332,165797.02140901386
18.666666666666668,172366.83659768666
19.0,159053.3404810871
19.333333333333332,170293.36198713136
19.666666666666668,173651.4413240828
20.0,161556.94008699496
