,3DI_01,3DI_02,3DI_03,3DI_04,3DI_05,3DI_06,3DI_07,3DI_08,3DI_09,3DI_10,3DI_11,3DI_12,3DI_13,3DI_14,3DI_15,3DI_16,3DI_17,3DI_18,3DI_19,3DI_20,3DI_21,3DI_22,3DI_23,3DI_24,3DI_25,3DI_26,3DI_27,3DI_28,3DI_29,3DI_30,3DI
PLCC,0.03450236392768452,0.09380170889260478,0.058244433289640796,-0.018057835252145733,0.11066325363998038,-0.07255396381729139,-0.01888921355086985,0.13790658430670577,-0.07204828238814164,-0.04841636124683541,0.0,0.12914266784672412,-0.001458694176970756,0.08119126546443299,0.09959047758405194,0.09442264160981012,0.009761395801412675,0.09758182869519538,-0.03223234635282308,-0.05942638573415635,0.0,0.0,0.09809144769428826,-0.041000021234729886,0.0,0.0,0.006476704090070847,-0.048010577059939795,0.003224027988307899,-0.032293656965721174,0.15742211456017255
PLCC p-val,0.5417932760079117,0.0965403154461192,0.3027746136718148,0.7495394595019107,0.04972749221561731,0.19904434983198657,0.7384193355127613,0.014302148120921813,0.202201482735159,0.3917813557551255,1.0,0.021873866126419023,0.9794277542739706,0.150534029873382,0.07757741233859256,0.09434445723158438,0.8629949754198653,0.08378236916296981,0.568717547593365,0.29305187742035954,1.0,1.0,0.0821714423594169,0.46839667142492225,1.0,1.0,0.9088459576138312,0.39576696656068067,0.9545503841674116,0.5679820700551041,0.005104897274726614
SROCC,0.08262740564966589,0.07923259629966008,0.06381559487089287,0.0252318469039665,0.06792205347439115,-0.08154564901909833,0.009407147788960913,0.16845720447016613,-0.06404507146906813,-0.0335748986485458,,0.1304471200986038,0.032615053175379216,0.0819557030706099,0.11710606086002401,0.1318934787636401,-0.00987290965552267,0.15233477169486126,-0.03927126001965806,-0.007009045629473782,,,0.10275490247013817,-0.0023217340171318053,,,0.007314461719651817,-0.010953476772148077,0.03688764374085464,-0.03005461370457122,0.20299531297691298
SROCC p-val,0.14342252947715797,0.16066011345982173,0.25878685971370485,0.6555166537896775,0.22932747509839865,0.14875480810479458,0.8679206799409381,0.002705151446413526,0.2570747727579456,0.5527169599317266,,0.020563365022226023,0.5641340534828371,0.14671608038144995,0.03777238830178277,0.019190472334218115,0.8614454981081203,0.006753677256195705,0.48737323955250844,0.9013903405473772,,,0.0685624657683624,0.967261672856224,,,0.8971167505643136,0.8464594384204404,0.5142011846758445,0.5951305801530251,0.0002874967805026395
KENDALL,0.0673689470410352,0.06427010000783334,0.05179084580774116,0.020496021544791118,0.055137265466651805,-0.0664443576480374,0.007506987441904773,0.13690137713742764,-0.05256255945135319,-0.02730274732485753,,0.1049707189684309,0.026328737281296647,0.06702268392738364,0.09510802721987102,0.10747428357092328,-0.007723256520187877,0.12451943984801474,-0.03227718602021467,-0.006061370714672959,,,0.08395614268591352,-0.002150434429719072,,,0.005605445674251082,-0.008799484011333621,0.030206270962482868,-0.024497485674234428,0.14536476543792493
KENDALL p-val,0.14319476722998592,0.16073355977550507,0.25802511435634845,0.6553874271116696,0.2274988404625199,0.14930135174171494,0.8705306687160991,0.0027962935497279663,0.25423002165388486,0.5532834307457409,,0.02146793637010756,0.5667883142574461,0.14642967018268607,0.03645036047024391,0.019741448280800915,0.8654515076923829,0.006749654683767286,0.4836883784454209,0.8949455352362157,,,0.06806006644698515,0.9624432704178271,,,0.9015877705493326,0.8486670268606432,0.510837710590166,0.5891204732688382,0.0003656839494992921
