time,entropy/
0.3333333333333333,180343.83964258447
0.6666666666666666,177847.72473347548
1.0,174953.06813605758
1.3333333333333333,175274.3432783131
1.6666666666666667,172923.38096841014
2.0,171895.22450001506
2.3333333333333335,170398.26780791883
2.6666666666666665,161722.88152751364
3.0,179545.36739439212
3.3333333333333335,182681.53608600234
3.6666666666666665,184218.4179798366
4.0,190830.26651120975
4.333333333333333,189703.10296523868
4.666666666666667,193302.17781210027
5.0,194924.51578361183
5.333333333333333,196830.50618502224
5.666666666666667,197508.9925763665
6.0,206380.10299157212
6.333333333333333,205611.52866753345
6.666666666666667,186538.85873716572
7.0,176082.61388457014
7.333333333333333,106248.9687088247
7.666666666666667,105682.70745750169
8.0,108851.07675646621
8.333333333333334,107501.75144524281
8.666666666666666,114228.32922315843
9.0,117654.26626567592
9.333333333333334,116998.50706349505
9.666666666666666,107320.2550946339
10.0,95656.73980138719
10.333333333333334,182537.80843136334
10.666666666666666,107530.64257241701
11.0,104017.4388900933
11.333333333333334,150073.5607121581
11.666666666666666,159071.01690782528
12.0,154325.35852226743
12.333333333333334,159877.4064360494
12.666666666666666,169551.47060230523
13.0,169911.3558222981
13.333333333333334,140660.0150138565
13.666666666666666,177798.94261665933
14.0,174301.465751315
14.333333333333334,190631.4148004608
14.666666666666666,186411.457396027
15.0,189559.86811060162
15.333333333333334,193649.33496505002
15.666666666666666,198738.181395728
16.0,197948.82819162818
16.333333333333332,201277.39971817526
16.666666666666668,208416.18122306775
17.0,206342.34470681794
17.333333333333332,205327.26187107328
17.666666666666668,207614.30361180427
18.0,165962.4223149661
18.333333333333332,183246.13182121483
18.666666666666668,186532.82417001805
19.0,187338.30327506782
19.333333333333332,187286.59446606727
19.666666666666668,182577.380209572
20.0,183260.82093936074
