time,entropy/
0.3333333333333333,196345.4980526239
0.6666666666666666,207989.35790326336
1.0,189378.07331895165
1.3333333333333333,203204.39334582805
1.6666666666666667,208374.49177715936
2.0,192299.72682049422
2.3333333333333335,199563.68747679325
2.6666666666666665,205760.52412778232
3.0,192888.52799560313
3.3333333333333335,203015.88809011778
3.6666666666666665,197946.0587817222
4.0,192369.32095604963
4.333333333333333,200934.90093631923
4.666666666666667,216708.22333150875
5.0,202361.15393393845
5.333333333333333,204440.7566826491
5.666666666666667,211799.71499517612
6.0,194919.77617936247
6.333333333333333,202967.72372948524
6.666666666666667,202433.9269842691
7.0,190770.09392248577
7.333333333333333,202424.90959582996
7.666666666666667,209968.77465274956
8.0,194844.88388952496
8.333333333333334,206290.16916978027
8.666666666666666,207381.6020458196
9.0,191933.27074330274
9.333333333333334,193557.3414772447
9.666666666666666,211528.08070501906
10.0,192402.2696128341
10.333333333333334,200536.45768341605
10.666666666666666,208635.30299761315
11.0,189755.48780235337
11.333333333333334,197469.54930981575
11.666666666666666,211576.1572732384
12.0,192080.714674591
12.333333333333334,195540.52748839906
12.666666666666666,201385.4426962478
13.0,171492.0009818988
13.333333333333334,177920.17825428702
13.666666666666666,183098.48844473076
14.0,182066.88541441594
14.333333333333334,171543.02904451275
14.666666666666666,186850.61109310586
15.0,167876.34453160362
15.333333333333334,174965.13201313448
15.666666666666666,181887.4037874812
16.0,179687.53332476295
16.333333333333332,196309.5273516072
16.666666666666668,196081.05849143185
17.0,185979.328395024
17.333333333333332,180397.34154920897
17.666666666666668,177439.7888600394
18.0,160531.45944543765
18.333333333333332,175334.9401198572
18.666666666666668,183114.87508596684
19.0,173555.32153209863
19.333333333333332,185438.5048282248
19.666666666666668,200484.7835621738
20.0,186967.81917824197
